Unnamed: 0,HistoricalAvgHrlyTemp,Date,NumberofGames,DayofWeek,VisitingTeam,HomeTeam,DayNight,Attendance
0,8.176,20010402,0,Mon,BOS,BAL,D,46547.0
1,7.485999999999999,20010402,0,Mon,CHA,CLE,D,42606.0
2,8.684,20010402,0,Mon,KCA,NYA,D,55814.0
3,7.479999999999999,20010402,0,Mon,OAK,SEA,N,45911.0
4,7.311999999999999,20010402,0,Mon,MON,CHN,D,38466.0
5,10.691999999999998,20010402,0,Mon,ATL,CIN,D,41901.0
6,0,20010402,0,Mon,SLN,COL,D,48113.0
7,15.559574468085113,20010402,0,Mon,PHI,FLO,D,36146.0
8,19.577272727272728,20010402,0,Mon,MIL,LAN,D,53154.0
9,14.314000000000004,20010402,0,Mon,SDN,SFN,D,40930.0
10,7.8,20010403,0,Tue,MIN,DET,D,40104.0
11,7.693999999999997,20010403,0,Tue,OAK,SEA,N,27212.0
12,18.995238095238093,20010403,0,Tue,TOR,TBA,N,26678.0
13,19.51400000000001,20010403,0,Tue,ANA,TEX,D,49512.0
14,16.806666666666672,20010403,0,Tue,NYN,ATL,D,42117.0
15,11.404000000000002,20010403,0,Tue,PIT,CIN,N,20784.0
16,15.691666666666663,20010403,0,Tue,PHI,FLO,N,10257.0
17,19.11000000000001,20010403,0,Tue,MIL,HOU,D,36526.0
18,18.104545454545455,20010403,0,Tue,ARI,LAN,N,22927.0
19,9.399999999999997,20010404,0,Wed,BOS,BAL,N,35602.0
20,8.534000000000002,20010404,0,Wed,CHA,CLE,N,32763.0
21,8.618,20010404,0,Wed,KCA,NYA,N,26499.0
22,7.6999999999999975,20010404,0,Wed,OAK,SEA,D,31382.0
23,19.240476190476187,20010404,0,Wed,TOR,TBA,N,10566.0
24,18.530000000000005,20010404,0,Wed,ANA,TEX,N,34321.0
25,17.102222222222228,20010404,0,Wed,NYN,ATL,N,27924.0
26,8.691999999999997,20010404,0,Wed,MON,CHN,D,23070.0
27,12.174,20010404,0,Wed,PIT,CIN,N,18330.0
28,0,20010404,0,Wed,SLN,COL,N,36667.0
29,16.393877551020413,20010404,0,Wed,PHI,FLO,N,8493.0
30,19.296000000000006,20010404,0,Wed,MIL,HOU,N,25092.0
31,17.836363636363632,20010404,0,Wed,ARI,LAN,N,34301.0
32,14.034,20010404,0,Wed,SDN,SFN,N,40930.0
33,8.473999999999998,20010405,0,Thu,BOS,BAL,N,33469.0
34,6.196000000000001,20010405,0,Thu,MIN,DET,D,20836.0
35,8.006122448979594,20010405,0,Thu,KCA,NYA,D,26696.0
36,19.562790697674416,20010405,0,Thu,TOR,TBA,D,10881.0
37,17.970000000000006,20010405,0,Thu,ANA,TEX,N,34120.0
38,16.813333333333333,20010405,0,Thu,NYN,ATL,N,34219.0
