Unnamed: 0,HistoricalAvgHrlyTemp,Date,NumberofGames,DayofWeek,VisitingTeam,HomeTeam,DayNight,Attendance
0,8.381999999999998,20010402,0,Mon,BOS,BAL,D,46547.0
1,8.163999999999998,20010402,0,Mon,CHA,CLE,D,42606.0
2,8.623999999999997,20010402,0,Mon,KCA,NYA,D,55814.0
3,7.429999999999999,20010402,0,Mon,OAK,SEA,N,45911.0
4,8.094,20010402,0,Mon,MON,CHN,D,38466.0
5,11.238000000000001,20010402,0,Mon,ATL,CIN,D,41901.0
6,0,20010402,0,Mon,SLN,COL,D,48113.0
7,15.738297872340427,20010402,0,Mon,PHI,FLO,D,36146.0
8,18.722727272727273,20010402,0,Mon,MIL,LAN,D,53154.0
9,14.35,20010402,0,Mon,SDN,SFN,D,40930.0
10,6.766000000000002,20010403,0,Tue,MIN,DET,D,40104.0
11,7.841999999999997,20010403,0,Tue,OAK,SEA,N,27212.0
12,19.11428571428571,20010403,0,Tue,TOR,TBA,N,26678.0
13,18.828000000000007,20010403,0,Tue,ANA,TEX,D,49512.0
14,16.90222222222223,20010403,0,Tue,NYN,ATL,D,42117.0
15,11.343999999999996,20010403,0,Tue,PIT,CIN,N,20784.0
16,16.273469387755103,20010403,0,Tue,PHI,FLO,N,10257.0
17,19.19600000000001,20010403,0,Tue,MIL,HOU,D,36526.0
18,17.540909090909086,20010403,0,Tue,ARI,LAN,N,22927.0
19,8.833999999999998,20010404,0,Wed,BOS,BAL,N,35602.0
20,8.015999999999998,20010404,0,Wed,CHA,CLE,N,32763.0
21,8.032653061224492,20010404,0,Wed,KCA,NYA,N,26499.0
22,8.259999999999998,20010404,0,Wed,OAK,SEA,D,31382.0
23,19.43255813953488,20010404,0,Wed,TOR,TBA,N,10566.0
24,17.996000000000002,20010404,0,Wed,ANA,TEX,N,34321.0
25,16.713333333333335,20010404,0,Wed,NYN,ATL,N,27924.0
26,8.027999999999999,20010404,0,Wed,MON,CHN,D,23070.0
27,11.810000000000002,20010404,0,Wed,PIT,CIN,N,18330.0
28,0,20010404,0,Wed,SLN,COL,N,36667.0
